icao24,registration,aircraft_manufacturer,aircraft_model,aircraft_category,engine_manufacturer,engine_model,engine_count
a8150c,N62MW,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
0d05eb,XA-CHC,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a23c9e,N243RC,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a524b8,N430SK,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a7c678,N60SB,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
0d07a6,XA-RUA,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a7dfa8,N606XT,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
e024d3,LV-BSS,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
ad7d9b,N969AF,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
4d029f,LX-AVT,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
800743,VT-RSP,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a58959,N456KT,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
400fa7,G-KALS,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
4b182e,HB-JEC,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
aac85b,N794RC,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
3c848f,D-BADO,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a31091,N297MC,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
4b8642,TC-ARB,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
506c1f,S5-ADE,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a48316,N390DB,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
e48aed,PR-ADB,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
ad11b7,N941JR,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a71299,N555GE,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a36562,N318JS,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
40689a,G-LEAZ,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
0d0e61,XA-BOM,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a07324,N128TS,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
adda5f,N992DC,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
150698,RA-67224,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
a98f6c,N715JD,Bombardier,Challenger 300,Large,Honeywell,HTF7000,2
